date,VZ
2000-08-17,14.2135370674
2000-08-18,14.8030064574
2000-08-21,14.932061886
2000-08-22,14.562335523
2000-08-23,14.1263374534
2000-08-24,14.5204797083
2000-08-25,15.0436773918
2000-08-28,15.2808603416
2000-08-29,14.9564777779
2000-08-30,15.4343316621
2000-08-31,15.1797087895
2000-09-01,15.3680599555
2000-09-05,15.1727328204
2000-09-06,14.869278164
2000-09-07,15.2180766196
2000-09-08,15.4552595694
2000-09-11,15.7168584112
2000-09-12,15.6540746892
2000-09-13,15.1308770057
2000-09-14,15.1727328204
2000-09-15,15.0646052991
2000-09-18,15.1308770057
2000-09-19,15.2355165424
2000-09-20,14.6495351369
2000-09-21,14.3879362952
2000-09-22,15.151804913
2000-09-25,15.0436773918
2000-09-26,15.1308770057
2000-09-27,15.151804913
2000-09-28,16.480727029
2000-09-29,16.8957971912
2000-10-02,16.5260708283
2000-10-03,16.6132704422
2000-10-04,17.2445956469
2000-10-05,18.2299512841
2000-10-06,17.7028709655
2000-10-09,17.4393308062
2000-10-10,17.0633468457
2000-10-11,16.3184066621
2000-10-12,16.1427132226
2000-10-13,16.3394898749
2000-10-16,16.3184066621
2000-10-17,17.0000972075
2000-10-18,16.7998066864
2000-10-19,16.8876534062
2000-10-20,17.0211804202
2000-10-23,17.460414019
2000-10-24,17.6361074585
2000-10-25,17.527177526
2000-10-26,17.9207308305
2000-10-27,18.6445878013
2000-10-30,19.4598053607
2000-10-31,20.3136754767
2000-11-01,19.5898185059
2000-11-02,20.292592264
2000-11-03,20.0290521047
2000-11-06,19.5230549989
2000-11-07,19.3051951339
2000-11-08,19.3473615594
2000-11-09,19.6776652257
2000-11-10,19.8322754524
2000-11-13,20.0079688919
2000-11-14,19.5898185059
2000-11-15,19.0416549746
2000-11-16,18.9081279606
2000-11-17,18.2299512841
2000-11-20,18.3599644293
2000-11-21,18.4267279363
2000-11-22,18.6235045886
2000-11-24,18.5356578688
2000-11-27,18.8659615351
2000-11-28,19.3262783466
2000-11-29,19.6109017186
