date,NVDA
2000-08-15,10.9079912618
2000-08-16,11.1837550858
2000-08-17,11.3951740175
2000-08-18,11.7965635836
2000-08-21,11.9788741118
2000-08-22,10.8482424332
2000-08-23,11.4809672072
2000-08-24,11.7873714562
2000-08-25,11.4901593347
2000-08-28,11.9497657081
2000-08-29,11.9206573045
2000-08-30,12.0263667703
2000-08-31,12.1611846399
2000-09-01,12.1795688948
2000-09-05,12.199485171
2000-09-06,11.3568734864
2000-09-07,11.9696819843
2000-09-08,11.260356148
2000-09-11,10.8007497746
2000-09-12,10.7333408399
2000-09-13,10.7287447761
2000-09-14,10.6291633952
2000-09-15,10.8604986032
2000-09-18,10.2262418079
2000-09-19,10.5418381843
2000-09-20,10.1971334042
2000-09-21,10.6352914802
2000-09-22,10.8206660508
2000-09-25,11.5958688006
2000-09-26,11.8731646459
2000-09-27,12.5242736748
2000-09-28,12.907278986
2000-09-29,12.544189951
2000-10-02,12.2469778296
2000-10-03,11.5866766731
2000-10-04,11.4518588036
2000-10-05,11.1837550858
2000-10-06,10.4851533982
2000-10-09,10.7149565849
2000-10-10,9.90145330403
2000-10-11,9.98724649373
2000-10-12,9.59504905511
2000-10-13,9.97805436627
2000-10-16,9.74825117957
2000-10-17,9.03892534331
2000-10-18,8.89491534631
2000-10-19,9.75744330704
2000-10-20,10.6674639263
2000-10-23,10.4269365909
2000-10-24,10.0929559596
2000-10-25,9.21204374395
2000-10-26,9.60424118258
2000-10-27,9.38363012335
2000-10-30,8.72332896691
2000-10-31,9.51998001412
2000-11-01,9.51844799288
2000-11-02,10.2461580841
2000-11-03,10.915651368
2000-11-06,11.7582630525
2000-11-07,10.9631440266
2000-11-08,10.6383555227
2000-11-09,9.52764012034
2000-11-10,9.00981693966
2000-11-13,9.04811747078
2000-11-14,10.7057644575
2000-11-15,10.5632864817
2000-11-16,9.90145330403
2000-11-17,9.70995064846
2000-11-20,8.96232428108
2000-11-21,8.79073790168
2000-11-22,8.33113152829
2000-11-24,8.80912215661
2000-11-27,8.51191003516
2000-11-28,7.87765323988
2000-11-29,7.39200250533
2000-11-30,6.20468604075
2000-12-01,6.8174945386
2000-12-04,6.92320400448
2000-12-05,7.3736182504
2000-12-06,6.31958763409
2000-12-07,6.20468604075
2000-12-08,7.62180569203
2000-12-11,7.62180569203
2000-12-12,7.41191878151
2000-12-13,6.83741081478
2000-12-14,6.36708029268
2000-12-15,5.73588753989
2000-12-18,5.92432615298
2000-12-19,5.47697594955
2000-12-20,4.88408372788
2000-12-21,4.27127523002
2000-12-22,5.37126648367
2000-12-26,5.15218744569
2000-12-27,5.49689222573
2000-12-28,5.52446860813
2000-12-29,5.02043361865
2001-01-02,4.58687160642
2001-01-03,5.99479913023
2001-01-04,6.68420869031
2001-01-05,5.68226679633
2001-01-08,6.22460231693
2001-01-09,6.34869603774
2001-01-10,6.78838613495
2001-01-11,7.35370197422
2001-01-12,7.20049984975
2001-01-16,6.63518401049
2001-01-17,6.87571134589
2001-01-18,8.19324961627
2001-01-19,7.97570259954
2001-01-22,7.66010622314
2001-01-23,8.42305280297
2001-01-24,8.38781631434
2001-01-25,7.5452046298
2001-01-26,7.78419994396
2001-01-29,7.82250047507
2001-01-30,7.99561887572
2001-01-31,7.90982568602
2001-02-01,7.94965823838
2001-02-02,7.18211559482
2001-02-05,7.17139144611
2001-02-06,7.20969197722
2001-02-07,6.87571134589
2001-02-08,6.83741081478
2001-02-09,6.78838613495
2001-02-12,6.60760762808
2001-02-13,6.80830241113
2001-02-14,7.30620931563
2001-02-15,8.64672790468
2001-02-16,9.11552640554
2001-02-20,8.20550578623
2001-02-21,8.57931896992
2001-02-22,8.94394002614
2001-02-23,8.32500344331
2001-02-26,8.13962887271
2001-02-27,7.65091409567
2001-02-28,6.84660294224
2001-03-01,7.3874064416
2001-03-02,6.67654858409
2001-03-05,6.74089347637
2001-03-06,7.39200250533
2001-03-07,7.98642674825
2001-03-08,8.25453046606
2001-03-09,7.66929835061
2001-03-12,7.39200250533
2001-03-13,8.27291472099
2001-03-14,8.74171322185
2001-03-15,9.17374321284
2001-03-16,9.13544268172
2001-03-19,9.66092596863
2001-03-20,8.76162949803
2001-03-21,9.412738527
2001-03-22,10.3610596774
2001-03-23,10.264542339
2001-03-26,10.8206660508
2001-03-27,10.4269365909
2001-03-28,10.4345966972
2001-03-29,10.5908628641
2001-03-30,9.94588192013
2001-04-02,9.52764012034
2001-04-03,9.84323649674
2001-04-04,8.82903843279
2001-04-05,9.64254171369
2001-04-06,9.60424118258
2001-04-09,9.13697470296
2001-04-10,9.99950266369
2001-04-11,10.6031190341
2001-04-12,10.7624492435
2001-04-16,10.5004736107
2001-04-17,11.0152327489
2001-04-18,11.836396136
2001-04-19,12.8536582424
2001-04-20,13.3224567433
2001-04-23,12.619258992
2001-04-24,11.7260906064
2001-04-25,12.2653620845
