date,BABA
2016-03-01,70.86
2016-03-02,71.25
2016-03-03,71.02
2016-03-04,72.22
2016-03-07,72.89
2016-03-08,71.07
2016-03-09,72.43
2016-03-10,71.97
2016-03-11,74.01
2016-03-14,73.35
2016-03-15,72.23
2016-03-16,73.5
2016-03-17,74.25
2016-03-18,76.25
2016-03-21,78.11
2016-03-22,78.18
2016-03-23,76.56
2016-03-24,75.86
2016-03-28,76.48
2016-03-29,78.08
2016-03-30,78.86
2016-03-31,79.03
2016-04-01,78.73
2016-04-04,79.08
2016-04-05,77.32
2016-04-06,78.68
2016-04-07,77.61
2016-04-08,77.47
2016-04-11,77.71
2016-04-12,77.86
2016-04-13,79.64
2016-04-14,79.61
2016-04-15,78.97
2016-04-18,79.01
2016-04-19,79.46
2016-04-20,81.21
2016-04-21,80.78
2016-04-22,79.89
2016-04-25,78.84
2016-04-26,78.61
2016-04-27,77.65
2016-04-28,76.4
2016-04-29,76.94
2016-05-02,76.61
2016-05-03,75.91
2016-05-04,75.82
2016-05-05,78.83
2016-05-06,79.2
2016-05-09,79.41
2016-05-10,79.72
2016-05-11,79.8
2016-05-12,79.16
2016-05-13,77.16
2016-05-16,79.29
2016-05-17,79.35
2016-05-18,79.03
2016-05-19,78.32
2016-05-20,78.79
2016-05-23,79.0
2016-05-24,81.12
2016-05-25,75.59
2016-05-26,78.35
2016-05-27,80.97
2016-05-31,82.0
2016-06-01,76.69
2016-06-02,77.3
2016-06-03,76.62
2016-06-06,78.06
2016-06-07,77.84
2016-06-08,77.64
2016-06-09,77.56
2016-06-10,75.92
2016-06-13,75.45
2016-06-14,77.77
2016-06-15,78.39
2016-06-16,78.27
2016-06-17,77.0
2016-06-20,78.15
2016-06-21,78.62
2016-06-22,78.73
2016-06-23,79.14
2016-06-24,76.29
2016-06-27,74.23
2016-06-28,76.28
2016-06-29,78.04
2016-06-30,79.53
2016-07-01,79.65
2016-07-05,78.97
2016-07-06,78.64
2016-07-07,79.35
2016-07-08,78.99
2016-07-11,81.46
2016-07-12,81.74
2016-07-13,80.57
2016-07-14,81.74
2016-07-15,81.25
2016-07-18,82.65
2016-07-19,82.77
2016-07-20,84.42
2016-07-21,84.18
2016-07-22,84.49
2016-07-25,83.19
2016-07-26,83.59
2016-07-27,83.1
2016-07-28,83.12
2016-07-29,82.48
2016-08-01,84.34
2016-08-02,83.8
2016-08-03,83.67
2016-08-04,84.75
2016-08-05,84.59
2016-08-08,85.0
2016-08-09,85.24
2016-08-10,87.33
2016-08-11,91.77
2016-08-12,98.25
2016-08-15,97.17
2016-08-16,96.66
2016-08-17,97.0
2016-08-18,97.0
2016-08-19,96.86
2016-08-22,95.65
2016-08-23,95.79
2016-08-24,93.88
2016-08-25,93.94
